Correlation term,Integral,integrand w other com ommitted
<02><41><35>,-(0ta)(0ab),"-[a,(0*(GTt0-GTta))]bp[(b*(Gab)),(a*(Gba-G0a))]"
<02><41><53>,-(0ta)(0ab),"[a,(0*(GTt0-GTta))]pb[(b*(-GTba)),(a*(Gba-G0a))]"
<02><15><34>,-(0ta)(0ab),"[a,(0*(GTt0-GTtb))]([b,(b*(GTb0))(a*(GTa0-GTab))p]-(a*(GTa0-GTab))[b,(b*(GTb0))p])"
<02><15><43>,-(0ta)(0ab),"-[a,(0*(GTt0-GTtb))][b,(a*(GTa0-GTab))]p(b*(-G0b))"
<02><51><34>,-(0ta)(0ab),"-[a,(0*(GTt0-GTtb))](b*(GTb0))p[b,(a*(Gba-G0a))]"
<02><51><43>,-(0ta)(0ab),"[a,(0*(GTt0-GTtb))]([b,p(a*(Gba-G0a))(b*(-G0b))]-[b,p(b*(-G0b))](a*(Gba-G0a)))"
<03><15><24>,-(0ta)(0ab),"[a,[(b*(Gab)),(0*(GTt0-GTtb))]b](a*(GTa0-GTab))p+[a,(0*(GTt0-GTtb))][(b*(Gab)),b(a*(GTa0-GTab))p]-[a,(0*(GTt0-GTtb))](a*(GTa0-GTab))[(b*(Gab)),bp]"
<03><15><42>,-(0ta)(0ab),"(0*(GTt0-GTtb))[a,[(b*(-GTba)),(a*(GTa0-GTab))]pb]-[a,[(b*(-GTba)),(0*(GTt0-GTtb))(a*(GTa0-GTab))]pb]+[(b*(-GTba)),(0*(GTt0-GTtb))][a,(a*(GTa0-GTab))p]b"
<03><51><24>,-(0ta)(0ab),"-[a,(0*(GTt0-GTtb))]bp[(b*(Gab)),(a*(Gba-G0a))]-[a,[(b*(Gab)),(0*(GTt0-GTtb))]b]p(a*(Gba-G0a))"
<03><51><42>,-(0ta)(0ab),"-(0*(GTt0-GTtb))[a,[(b*(-GTba)),p(a*(Gba-G0a))b]]-[a,(0*(GTt0-GTtb))][(b*(-GTba)),pb](a*(Gba-G0a))-[(b*(-GTba)),(0*(GTt0-GTtb))][a,p(a*(Gba-G0a))]b+[a,[(b*(-GTba)),(0*(GTt0-GTtb))p(a*(Gba-G0a))b]]"
